country,description,designation,points,province,taster_name,taster_twitter_handle,title,variety,winery
US,"This rich and voluptuous wine wins one over with its baked pear and vanilla sumptuousness, etched with an apple blossom aroma. Robust and velvety on the palate, it's balanced by fresh citrus and wet stone nuances. The lifted acidity provokes both succulence and complexity.",Brumaire,95,California,Virginie Boone,@vboone,EnRoute 2015 Brumaire Chardonnay (Russian River Valley),Chardonnay,EnRoute
US,"Remarkably inky in color for a Grenache-based blend, it features strong aromas of cedar, meat and deeply purple fruit. The soft, rich mouthfeel coats the palate like a luxurious lacquer, and features flavors of blackberry jam, macerated cherry and vanilla-spiced plums. The blend of florals, herbals, fruit and oak-driven tannins is masterful. Drink now by itself or with a peppercorn-crusted filet mignon.",Veracity Paderewski Vineyard,95,California,Matt Kettmann,@mattkettmann,Epoch Estate Wines 2011 Veracity Paderewski Vineyard Red (Paso Robles),Grenache Blend,Epoch Estate Wines
US,"This wine from Jordan Fiorentini is a stunning study in how to achieve extreme richness with elegance. Deep black cherry, violet, espresso, milk chocolate and vanilla pastry show on the nose. On the palate, chalky, soft tannins bring forth baked blueberry, star anise and clove flavors, with floral tones and acidic lift on the finish.",Block B Paderewski Vineyard,96,California,Matt Kettmann,@mattkettmann,Epoch Estate Wines 2013 Block B Paderewski Vineyard Syrah (Paso Robles),Syrah,Epoch Estate Wines
Austria,"The extreme eastern vineyard of the Wachau is a stony valley, giving an extreme wine, all mineral and cool, poised fruit even in a warm year like 2006. Yes, there are pears and currant fruit flavors, but the wine goes more towards the lime and salt, to fit with its austere structure. Age for at least 10 years.",Loibner Steinertal Smaragd,95,Wachau,Roger Voss,@vossroger,F X Pichler 2006 Loibner Steinertal Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"This is always a major wine, and this vintage is no exception. It is spectacularly ripe, spicy, concentrated and fruity. The yellow fruits, tangy citrus and mineral structure all contribute to an intense complexity. Age this wine for many years and don't drink before 2017.",Dürnsteiner Kellerberg Smaragd,96,Wachau,Roger Voss,@vossroger,F X Pichler 2012 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"This is an impressively rich, ripe wine that maintains great swathes of fresh pear and apple flavors. It is dense on the palate, with a powerful mineral and steel expression to pair with the opulent texture and rounded aftertaste. Should develop well over at least five years.",Loibner Oberhauser Smaragd,95,Wachau,Roger Voss,@vossroger,F X Pichler 2012 Loibner Oberhauser Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,This is a rich and complex wine that shows spiced pear and a tense structure. It is very aromatic and fresh while also rich and concentrated. A powerful statement of the fruit and minerality of the Wachau and definitely for long-term aging. Don't drink before 2016.,Loibner Steinertal Smaragd,95,Wachau,Roger Voss,@vossroger,F X Pichler 2012 Loibner Steinertal Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"Luscious notes of ripe stone fruit have tropical overtones of pineapple, with some musky notes on both the nose and palate. The ripeness of the pineapple is even more accented in the mouth where it contrasts with totally crisp lime acidity. This is exciting now but has the backbone to age beautifully through 2025 at least.",Dürnsteiner Kellerberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2013 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"A delightful citrus scent intrigues, suggesting yuzu or mandarin. The palate is richer and introduces notions of earth and that pithy, phenolic edge of serious Grüner Veltliner. The initial citrus on the nose returns with redoubled force on the streamlined, fresh and still tightly closed palate. Give this time to unwind, so that the fruit can fully express itself. The deliciously green- and orange-tinged finish promises everything. Drink from 2017.",Dürnsteiner Liebenberg Smaragd,96,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2013 Dürnsteiner Liebenberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,F X Pichler
Austria,"Musky, heady notes of ripeness move within the pear scent of this serious Federspiel. Their richness is countered by grapefruit peel that gives verve and nerve to the entire wine, corsetting its ripeness with delicious citric acidity. There is a phenolic dimension, too, but that fizzling citrus freshness is just so much fun. This will stay fresh and exciting for a long time. Drink from 2016.",Loibner Burgstall Federspiel,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2013 Loibner Burgstall Federspiel Riesling (Wachau),Riesling,F X Pichler
Austria,"Slender poise and supercharged lemon are signaled with the first sniff. A pleasantly bitter note—think almond or Castelfranco—plays along the edges of the palate before riper, more generous yellow plum kicks in, always toned by that citrus freshness. Drink now to 2025.",Loibner Loibenberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2013 Loibner Loibenberg Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"Wonderfully ripe flavors of juicy, yellow pear precede everything. With a little air, the palate gives us the full ultraspicy force of true Grüner: a real hit of freshly ground white pepper, leesy yeast notes and herbal tinges of chervil, arugula and watercress, all bound up in a smooth, concentrated but compact package with lasting, savory length and a seam of freshness.",Dürnsteiner Kellerberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2014 Dürnsteiner Kellerberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,F X Pichler
Austria,"A barely-there glimpse of lemon bids you to step closer and take a sip. The palate unfolds in a still tightly contained bundle of lemon zest and juiciness. There is an undertow of riper texture, reminiscent of bitter orange zest and just as full of aromatic promise. This is wiry and slender but will mellow into seductive freshness and slick, almost cheeky tartness. With this concentration, it has all the makings of a flavor bomb and is something to really look forward to. Drink 2018–2030.",Dürnsteiner Kellerberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2014 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"Perfumed peach is edged with citrus, yeast and a hint of pepper on a very enticing nose. The palate tinges the fruit with far more savoriness: the full force of yeasty spice, something herbal and salty and incredibly moreish. Citrus also provides a wonderfully high-toned dimension that suggests pink grapefruit zest and kumquats. This is toned, concentrated and full of verve.",Dürnsteiner Liebenberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2014 Dürnsteiner Liebenberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,F X Pichler
Austria,"The nose is a tease of subtle mandarin and lemon zest, promising but not giving away very much at all. The alluring juiciness of the palate hints at small, yellow mirabelle plums but as of yet merely plays at the surface. Underneath it all is a solid powerhouse bursting with Seville orange, freshness and precision. Another one to keep, guard and treasure for a precious but enlightening soirée. The endless length reinforces that promise. Drink 2018–2025.",Loibner Loibenberg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2014 Loibner Loibenberg Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"Bergamot and lemon, grapefruit and tangerine: students of citriculture would find much to explore—perfumers too. As a drinker you just want to dive into this inviting, fragrant pool of refreshment. There is a powdery edge too, and quite some texture, despite the most slender of bodies. This represents depth rather than power and is a ticket straight to a citrussy Riesling heaven. With age this will get even better.",Loibner Steinertal Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2014 Loibner Steinertal Smaragd Riesling (Wachau),Riesling,F X Pichler
Austria,"Savory hints of moss and lime, of fragrant, crushed citrus foliage and very pure lemon zest make for a totally seductive nose. How this can have all the fragrant promise of the coast when it is from landlocked Austria is anyone's guess. The palate is concentrated, streamlined and presents a panoply of zesty citrus notes: mandarin and lemon peel one moment, lime and grapefruit the next. Totally charming in its youth, this really is made for the long run. Drink 2016–2030 at least.",Loibner Burgstall Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,F X Pichler 2015 Loibner Burgstall Smaragd Riesling (Wachau),Riesling,F X Pichler
US,"Power and grace come together in this deceptively concentrated, full-bodied, complex, sophisticated and age-worthy wine. A light hand on the new-oak nuances allows the pure, focused fruit flavors to course through on the palate and linger on the finish. It will be best after 2020.",Ferrington Vineyard,95,California,Jim Gordon,@gordone_cellars,FEL 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,FEL
France,"One of Faiveley's monopoles (wholly owned vineyards), Clos des Cortons makes powerful wines. That's the case in 2005. This wine towers up, a strong edifice of tannins and big, black fruits. It has all the right elements coming into place, along with weight and some elegance.",Clos des Cortons,95,Burgundy,Roger Voss,@vossroger,Faiveley 2005 Clos des Cortons  (Corton),Pinot Noir,Faiveley
US,"There is impressive depth to the nose of this bottling, with concentrated black cherry, black plum and blueberry fruit enhanced by white pepper, roasted meat, licorice and hot asphalt. The palate is awash in savory flavors, with soy, charred beef and tobacco followed by waves of blueberry and leather and a wash of vanilla, plum skin and mocha, all atop perfectly polished tannins.",Mia's Vineyard,95,California,Matt Kettmann,@mattkettmann,Falcone 2013 Mia's Vineyard Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Falcone
France,"The 2010 Beaucastel is a tour de force, brilliantly combining espresso and black olive notes with bright raspberry fruit, while dark earthy notes provide a solid base. The feel on the palate is ample, with tannins that are a bit dusty but not tough or chewy. The long, mouthwatering finish bodes well for the future. Drink now–2030.",Château de Beaucastel,96,Rhône Valley,Joe Czerwinski,@JoeCz,Famille Perrin 2010 Château de Beaucastel Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Famille Perrin
US,"Sourced largely from the Martin Stelling Vineyard behind the winery in the western shade of Oakville, this wine opens with charred oak and a smoky, meaty character that intrigues. Seamless on the palate in soft, perceptible tannin, it delves into characteristics of cedar and brushy sage as it goes, unveiling a wildness that's hard to contain. Its bright, fresh finish gives it a roundness that's ready to enjoy now.",Estate Bottled,95,California,Virginie Boone,@vboone,Far Niente 2013 Estate Bottled Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Far Niente
Italy,"Firmly structured but elegant, this offers aromas of blue flower, tobacco, tilled earth, black fruit and a balsamic note. The vibrant palate boasts wonderful intensity, weaving notes of white pepper, baking spice, savory herb, licorice and mineral around a black cherry core. It's young and austere but impeccably balanced with firm acidity and assertive but fine-grained tannins. Give it time to unwind and develop complexity. Drink 2018–2030.",Colonia Gran Selezione,95,Tuscany,Kerin O’Keefe,@kerinokeefe,Felsina 2010 Colonia Gran Selezione  (Chianti Classico),Sangiovese,Felsina
Italy,"Made entirely from Sangiovese, it opens with fragrances that recall spicy black berries and Mediterranean herbs. The velvety palate delivers power and finesse along with fleshy black cherry, licorice and a graphite note. Wine Warehouse, Polaner Selections.",Fontalloro,95,Tuscany,Kerin O’Keefe,@kerinokeefe,Felsina 2010 Fontalloro Sangiovese (Toscana),Sangiovese,Felsina
Italy,"Aromas of underbrush, leather, flint, wild berry and a balsamic note mingle in the glass. The structured palate delivers dried cherry, crushed raspberry, grilled herb and anise alongside firm, fine-grained tannins and fresh acidity. Hold for additional complexity; drink 2018–2035.",Black Label,95,Piedmont,Kerin O’Keefe,@kerinokeefe,Ferrando 2010 Black Label  (Carema),Nebbiolo,Ferrando
Portugal,"This hugely rich yet approachable wine shows power and boldness. All the elements are there, linked by firm tannins and freshness from berry acidity.",Vintage,97,Port,Roger Voss,@vossroger,Ferreira 2011 Vintage  (Port),Port,Ferreira
Italy,"This pure expression of Merlot opens with enticing scents of red woodland berry, crushed flower, smoke and exotic incense. The silky, structured palate boasts a range of flavors, including juicy wild cherry, raspberry jam, licorice, tobacco, vanilla and cinnamon, while velvety tannins offer seamless, polished support. It's already elegant and thoroughly delicious, but it will age well too. Drink 2018–2028.",Patrimo,96,Southern Italy,Kerin O’Keefe,@kerinokeefe,Feudi di San Gregorio 2012 Patrimo Merlot (Campania),Merlot,Feudi di San Gregorio
US,"Though the blend includes small portions of other grapes—9% Syrah, 3% Merlot and 5% Cabernet Franc—this really champions the essential character of great Washington Cabernet. Its core fruit is supple and compact cassis and black cherry, with a spicy top note that resonates well into the finish. Concentrated and beautifully proportioned, with black olive and just a hint of leaf in the finish.",RiverBend Vineyard,95,Washington,Paul Gregutt,@paulgwine ,Fielding Hills 2008 RiverBend Vineyard Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Fielding Hills
US,"The second release of Figgins—a single wine produced by Leonetti's Chris Figgins—is astonishing. Tasted in a lineup of exceptional Walla Walla reds, it outshined them all. It's a sophisticated blend of Cabernet Sauvignon, Petit Verdot and Merlot, from the Figgins Vineyard, with gorgeous aromas of flowers, spices and black fruits. Seamless and long, complex and forceful without being overpowering, it can stand alongside top tier Bordeaux costing four or five times as much.",Estate,98,Washington,Paul Gregutt,@paulgwine ,Figgins 2009 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins
US,"This is the third release of Figgins, a single wine produced by Leonetti's Chris Figgins from his Figgins Estate vineyard. Intensely aromatic, it explodes from the glass with baking spices and deep cassis fruit. Over the course of three days it opened into a sleek, stylish, complex mix of purple- and black-berries, dried herbs, bark, dusty cocoa and a streak of caramel. Long and lush, it's a wine to cellar for a decade or more.",Estate,96,Washington,Paul Gregutt,@paulgwine ,Figgins 2010 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins
Argentina,"This is a supreme small-lot Argentine wine from lauded winemaker Jorge Riccitelli. The blend is 70% Malbec with 20% Cabernet and 10% Merlot. Aromas of loam, wild berry and vanilla are elegant and exciting. This is silky smooth, with creamy oak and ripe black-fruit flavors playing together through a mellow, plush finish. Drink this impressive, complete Malbec blend through 2016.",Vineyard Selection,95,Mendoza Province,Michael Schachner,@wineschach,Finca Perdriel 2007 Vineyard Selection Red (Mendoza),Bordeaux-style Red Blend,Finca Perdriel
US,"A full array of chaparral aromas arise prominently on this bottling, with thyme and sagebrush spicing up the smoke, earth, crushed slate and dark-cherry scents. The palate zings with snappy black-raspberry fruit, a great counterpoint to the savory shrubbiness that reflects the nose, with more wild herbs and eucalyptus notes. Quite a full experience.",Rio Vista Vineyard Dijon,95,California,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2013 Rio Vista Vineyard Dijon Pinot Noir (Sta. Rita Hills),Pinot Noir,Flying Goat Cellars
Portugal,"A classic Fonseca, rich and powerful, with just an extra edge of weight from the vintage. It has a dry character, a tannic edge that gives great promise, but the open-hearted fruit is all there. A wonderfully intense wine for aging.",Vintage,95,Port,Roger Voss,@vossroger,Fonseca 2009 Vintage  (Port),Port,Fonseca
Portugal,"A powerful, spicy wine, luscious in its peppered berry fruits and sweet tannins. The structure is dramatic, offering a smooth texture as well as a drier core. With its weight, density and dark, final character, this is a wine for serious aging.",Vintage,97,Port,Roger Voss,@vossroger,Fonseca 2011 Vintage  (Port),Port,Fonseca
Italy,"Made entirely with Sangiovese, this stunning elegant wine is initially closed but then blooms in the glass to reveal red berry, iron, blue flower, underbrush and dark spice. The focused, radiant palate delivers bright cherry, star anise, white pepper and mineral alongside vibrant acidity and polished tannins. A hint of orange zest graces the lingering finish. Hold for more complexity. Drink 2018–2028.",Dino,95,Tuscany,Kerin O’Keefe,@kerinokeefe,Fontodi 2013 Dino Sangiovese (Colli della Toscana Centrale),Sangiovese,Fontodi
Italy,"Fermented and aged in clay amphorae, this dark, delicious wine opens with earthy aromas of tilled soil, ripe black-skinned fruit, Alpine herbs and a whiff of pine. The concentrated yet almost weightless palate doles out juicy black cherry, blackberry, mineral and anise alongside silky, smooth tannins. The purity of the fruit is striking.",Morei,95,Northeastern Italy,Kerin O’Keefe,@kerinokeefe,Foradori 2012 Morei Teroldego (Vigneti delle Dolomiti),Teroldego,Foradori
US,"A tad riper, fuller and richer than the 2009 vintage, this wine is deep, subtle and complex, with a myriad of fruit and mineral flavors. Cassis, olive, fresh herb, toast, caramel and coconut are all in play, balanced and layered. The wine is young, tart and full of promise for the long term; hold at least 10–15 years.",Collaboration Series I Ciel du Cheval Vineyard,95,Washington,Paul Gregutt,@paulgwine ,Force Majeure 2010 Collaboration Series I Ciel du Cheval Vineyard Red (Red Mountain),Bordeaux-style Red Blend,Force Majeure
US,"This wine's magically layered nose blends graphite, black cherries, dried violets, hints of savory smoke meats and the oddly captivating scent of composting rose petals. From a vineyard on the appellation's eastern edge come a spice rack of flavors, from black peppercorns and hoisin sauce to soy and blackberry fruit.",John Sebastiano Vineyard,95,California,Matt Kettmann,@mattkettmann,Foxen 2013 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen
US,"Hearty plum, deep rose petal, earthy juniper, a touch of charcoal and crushed graphite aromas show strongly on the nose of this bottling from a tiny block in this historic vineyard. The palate packs an awesome combination of tension, energy and power, like a clenched fist in a silk glove, with tangy olallieberry fruit and a menthol character that carries deep into the finish.",Block 8 Bien Nacido Vineyard,95,California,Matt Kettmann,@mattkettmann,Foxen 2014 Block 8 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen
US,"Fresh and tart wild cherry and crushed cranberry meet with intriguing touches of fennel frond, mustard, rose hips, potpourri and tons of garrigue on the nose of this bottling. The palate packs vibrancy into each sip, redolent with flavors of tomato leaf, cherry tomato, kalamata olive, underripe raspberry, anise, bay leaf and even earthy mugwort. It conveys an extreme sense of place.",John Sebastiano Vineyard,95,California,Matt Kettmann,@mattkettmann,Foxen 2014 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen
US,"This block-designate wine shows flamboyant aromas of red cherry, cola, purple flowers and light caramel. The palate offers an amazingly cohesive and zesty experience, combining piquant cranberry and tart raspberry with slate-driven minerality and a persistent woody spice. The texture is soft, but lifted by strong acidity.",Block 8 Bien Nacido Vineyard,96,California,Matt Kettmann,@mattkettmann,Foxen 2015 Block 8 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen
US,"Extremely alluring aromas of black plum and blackberry meet with touches of caramel, vanilla and fresh rose on the nose of this bottling. Raspberry and cranberry pop on the sip, but it's the garrigue character of black sage and thyme, plus a bit of white pepper, that rounds out the seamlessly integrated palate.",John Sebastiano Vineyard,95,California,Matt Kettmann,@mattkettmann,Foxen 2015 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen
US,"The impressively plump and prominent strawberry and red-currant aromas are alluring on the nose, enhanced by touches of cinnamon and pepper dust. The palate combines savory pepper spice, red plums and berries, with a solidly simmering acidity shimmering through the entire sip.",Solomon Hills Vineyard,96,California,Matt Kettmann,@mattkettmann,Foxen 2015 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen
US,"Amazing aromas of cherry, cedar, cocoa powder and vanilla-clove cigarettes hit the nose on this stellar interpretation of the six-year-old appellation. It's supple and rich on the palate, with mocha, juicy red berries and plenty of exciting zing.",7200 Grassini Family Vineyard,95,California,Matt Kettmann,@mattkettmann,Foxen 7200 2012 7200 Grassini Family Vineyard Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Foxen 7200
Austria,"Tight, taut and mineral, tense and concentrated. There is intense acidity and a touch of spice, but this is all about structure and suppressed fruit. Keep this wine at least until 2010.",Singerriedel Smaragd,95,Wachau,Roger Voss,@vossroger,Franz Hirtzberger 2006 Singerriedel Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"A Riesling that hovers deliciously between Alsace and the German Rheingau. It has the richness of Alsace, but the structure of the Rheingau. And it brings more, because the tight soils of the Hochrain vineyard, with its stony subsoil, brings an intense minerality, which is surrounded by opulent apricot and pineapple fruits. A great wine with enormous potential.",Hochrain Smaragd,95,Wachau,Roger Voss,@vossroger,Franz Hirtzberger 2007 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"One of Austria's great wines, this intense expression of an imposing vineyard explodes in the mouth. Its perfumed, floral character quickly gives way to a taut, tight mineral structure, a coiled spring with its white fruits, citrus and bright acidity all waiting to race out as the wine ages. Keep for at least five years.",Singerriedel Smaragd,95,Wachau,Roger Voss,@vossroger,Franz Hirtzberger 2007 Singerriedel Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"A beautifully perfumed wine is give shape by its great swathe of minerality, its intense acidity. The fruits range from citrus to white peach, a gallery of delicious flavor. Like any great Riesling, it needs years to mature.",Hochrain Smaragd,96,Wachau,Roger Voss,@vossroger,Franz Hirtzberger 2010 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"Yellow plum and Amalfi lemon lead a merry dance on nose and palate. A yeasty edge pulls them down to earth, but their exuberance is evident, swirling and barely contained. This is lively, refreshing and totally invigorating. A celebration of ripe citrus draws a dynamic and dizzying fault line across the palate. Currently, minerality lurks in the background while the fruit dances. This will change intriguingly with time.",Hochrain Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2013 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"Strikingly golden in color this tightly holds very ripe yellow pear fruit and dark honey. With time in glass, fresh and ripe pineapple tantalizes. The palate is concentrated and has a pleasantly bitter phenolic edge, stony definition and a core of freshness. The undeniably ripe fruit is still tightly corseted and will need cellaring to express itself. Drinks as of 2018.",Honivogl Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2013 Honivogl Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
Austria,"A zesty nose promises refreshment and poise. The palate not only keeps this promise but tops it. Orange, mandarin and lemon frame riper peach and Mirabelle plum explode like a firework of fruit on the palate. This is fruit-framed, citrus-focused joy, combining immense concentration with immense elegance. There is a long and exciting life ahead of this.",Singerriedl Smaragd,96,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2013 Singerriedl Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"Chervil, lovage, watercress and yeast swirl headily on the nose. The palate subsumes these in a tight, taut, savory core of immense energy and power. There is muscle and tone, power and punch. If you are looking for a superlatively spicy, long-lived Grüner, this is the one to get. Underneath you will find notions of stone and earth that anchor this firmly. The finish is clean and long. Drink 2017–2020.",Honivogl Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2014 Honivogl Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
Austria,Wonderfully concentrated notes of ripe mirabelle plums open up on the nose. There also is a heady lemon note. The palate is rich with the same fleshy ripe fruit but has a fault line of zesty orange at its core that provides focus and seems to illuminate clouds of ripe aromatic citrus at every turn. This shimmers with tangerine and clementine. The body is immensely concentrated but has total direction and drive. Enjoy 2020–2040.,Hochrain Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2015 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
Austria,"A honeyed note clings to the ripe fruit of Bosc pear. The palate adds immense and appetizing spice to the pear notions, edging it with pepper and yeasty notes of soy and sandalwood. The palate is ripe and concentrated but deeply textured and made precise by zesty grapefruit freshness. It appears compact and precise and has a lasting, impressive impact, shining with pure fruit and aromatics. Lovely now but certain to improve with some bottle age. Drink 2017–2035.",Honivogl Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2015 Honivogl Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
Austria,An appetizing top note of candied lemon peel hovers over the glass before spicy hints of pear peel become apparent. The palate is edged with very precise zesty grapefruit hints that frame and corset a most generously white-pepper-spiced host of pear and yellow plum fruit. It is the structure of that zesty acidity that make this luminous and appetizing. This is rich but concentrated; delicious now but built to last. Drink 2017–2035.,Kirchweg Smaragd,95,Wachau,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2015 Kirchweg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
Italy,"New leather, rose, violet, menthol and dark spice aromas set the tone on this luminous red. It's more about finesse than muscle, delivering tight layers of cherry, raspberry, mint and white pepper while tightly-knit refined tannins provide the taut framework. Bright acidity gives it intensity while a mineral note further lifts the finish. Give it time to soften and fully develop. Drink 2023–2043.",Monvigliero,95,Piedmont,Kerin O’Keefe,@kerinokeefe,Fratelli Alessandria 2013 Monvigliero  (Barolo),Nebbiolo,Fratelli Alessandria
US,"It's difficult to match the pure, expressive fruit and focus of this medium- to full-bodied, concentrated and complex wine. Substantial, enticing aromas of red and black cherry with a touch of butter lead to cherry, rhubarb, forest floor and mint notes on the palate. The mouthfeel is full but lively, and the finish lingers nicely. Best after 2022.",Gloria Estate,95,California,Jim Gordon,@gordone_cellars,Freeman 2014 Gloria Estate Pinot Noir (Russian River Valley),Pinot Noir,Freeman
Italy,"The nose is still a bit closed but eventually reveals black-skinned berry, dark spice, iris and a whiff of tilled soil. The palate is more expressive and downright delicious, offering juicy black cherry, raspberry jam, cinnamon and a touch of exotic spice. Firm, fine-grained tannins and fresh acidity provide the framework while a licorice note closes the lingering finish. Drink 2020–2032.",Riserva,96,Tuscany,Kerin O’Keefe,@kerinokeefe,Fuligni 2010 Riserva  (Brunello di Montalcino),Sangiovese,Fuligni
US,"This is the Gainey family's annual statement on how Bordeaux varieties can excel in the Santa Ynez Valley, and this blend of 86% Cabernet Sauvignon, 12% Petit Verdot and 2% Merlot is a marvelous argument. Aromas of pepper, pencil shavings, oregano, dill, elderberries, black currant and dried blueberries lead into an expertly integrated palate where black fruit is nuanced by cedar, dried oregano, crushed gravel and peppery spice.",Patrick's Vineyard Selection,95,California,Matt Kettmann,@mattkettmann,Gainey 2012 Patrick's Vineyard Selection Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Gainey
Italy,"Red berry, aromatic herb, pressed violet and dark spice aromas meld together in the glass. Firmly structured, the palate boasts intensity and energy, offering dark cherry, licorice and mint set against a backbone of fine-grained tannins and fresh acidity. It's well balanced but young so give this time to fully develop. Drink 2020–2032.",Costa Russi,95,Piedmont,Kerin O’Keefe,@kerinokeefe,Gaja 2013 Costa Russi  (Barbaresco),Nebbiolo,Gaja
US,"Aged in a combination of concrete egg, stainless steel and new French oak, this winning white is a study in peach and apricot—it's incredibly inviting in both taste and aroma. A layer of honey adds succulence without sweetness, as it remains dry and balanced through the mineral-laden finish.",Terracea,95,California,Virginie Boone,@vboone,Galerie 2016 Terracea Riesling (Spring Mountain District),Riesling,Galerie
Spain,"Everything about this stately Ribera heavyweight impresses. The nose is outright oaky, so expect derivative aromas of toast, clove, cinnamon and spice to go with black-fruit scents. This remains firm, tannic and tightly wrapped, with massive blackberry, chocolate and toast flavors. Peppery spice, brooding mixed-berry flavors and mouth-coating tannins endow a finish that signals that this has many good years ahead of it. Drink from 2018–2032.",Tinus,96,Northern Spain,Michael Schachner,@wineschach,García Figuero 2011 Tinus  (Ribera del Duero),Tempranillo,García Figuero
Spain,"Extremely ripe aromas of prune, blackberry, cassis and cinnamon announce a jammy loaded palate that weighs nothing short of a ton. The flavor profile is a black-fruit bonanza accented by graphite and blackened toast. Drink this monster wine from a dry, hot vintage from 2019–2034.",Tinus,95,Northern Spain,Michael Schachner,@wineschach,García Figuero 2012 Tinus  (Ribera del Duero),Tempranillo,García Figuero
US,"To tame Durell is no easy feat—indeed at first this wine exudes matchstick and robustness on the nose and palate. But tameness comes in the form of lemon and grapefruit pith, brightening the load, with a sinewy structure supporting its core. The finish is succulent in honey and stone. Drink now through 2020.",Durell Vineyard,96,California,Virginie Boone,@vboone,Gary Farrell 2013 Durell Vineyard Chardonnay (Sonoma Valley),Chardonnay,Gary Farrell
US,"An intensity of petrol-like oakiness on the nose of this wine suggests a youthful coiling that's yet to unravel. Still, plenty of promise is revealed, from robust yet floral elements of golden apple and honey to the effusive back notes of peach. Medium bodied, it finishes crisp and creamy, an expert combination of strength and elegance. Drink now through 2020.",Rochioli Vineyard,95,California,Virginie Boone,@vboone,Gary Farrell 2013 Rochioli Vineyard Chardonnay (Russian River Valley),Chardonnay,Gary Farrell
